,price,address,beds,reception,bathrooms,contact_number
91,"£240,000","Alexander Road, Langdon Hills, Basildon, Essex SS16",2,1,1,
92,"£180,000","Pitsea, Basildon, Essex SS13",2,1,1,
93,"£425,000","Eisenhower Road, Basildon, Essex SS15",4,2,1,
94,"£281,000","Eisenhower Road, Basildon, Essex SS15",4,2,1,
95,"£375,000","Warwick Crescent, Basildon SS15",3,1,3,
96,"£189,000","Copperfields, Laindon, Essex SS15",,,,
97,"£140,000","South Crockerford, Vange, Basildon SS16",1,1,1,
98,"£350,000","Montague Street, Basildon, Essex SS14",3,2,1,
99,"£350,000","Basildon, Essex, United Kingdom SS14",,,,
100,"£275,000","Long Acre, Basildon, Essex SS14",3,1,1,
101,"£280,000","Abrahams Close, Basildon SS14",2,1,2,
102,"£300,000","Gobions, Basildon, Essex SS16",3,2,1,
103,"£320,000","Britten Avenue, Basildon SS14",2,1,3,
104,"£375,000","Cumberland Drive, Laindon, Basildon SS15",3,1,1,
105,"£400,000","Bruton Link, Basildon SS15",3,1,2,
106,"£290,000","Ayletts, Basildon SS14",3,1,1,
107,"£315,000","Blackthorn Court, Langdon Hills, Basildon SS16",2,1,1,
108,"£325,000","Abrahams Close, Basildon SS14",2,1,3,
109,"£275,000","Rosecroft Close, Langdon Hills, Basildon, Essex SS16",,,,
110,"£375,000","Abingdon Close, Basildon SS15",3,1,2,
111,"£275,000","Driftway, Basildon, Essex SS16",4,1,1,
112,"£270,000","Buckingham Road, Laindon, Essex SS15",2,1,1,
113,"£668,995F","""Harrogate"" at Little Malgraves Industrial Estate, Lower Dunton Road, Bulphan, Upminster RM14",,,,
114,"£260,000","Beambridge Place, Basildon SS13",3,1,1,
115,"£225,000","Cherrydown East, Basildon, Essex SS16",,,,
116,"£260,000","Buckerills, Basildon, Essex SS13",,,,
117,"£350,000","Gun Hill Place, Woodlands Estate, Kingswood SS16",4,1,1,
118,"£400,000","Sparrows Herne, Basildon, Essex SS16",4,1,1,
119,"£210,000","Southernhay Close, Basildon SS14",2,1,1,
120,"£229,000","Bramble Tye, Laindon, Basildon, Essex SS15",2,1,1,
121,"£210,000","Churchill Avenue, Basildon SS14",2,1,1,
122,"£195,000","Warwick Crescent, Basildon SS15",1,1,1,
123,"£255,000","Rectory Road, Pitsea, Basildon SS13",,,,
124,"£275,000","Driftway, Basildon, Essex SS16",4,1,1,
125,"£250,000","Basildon, Essex, United Kingdom SS15",3,1,2,
126,"£335,000","The Slades, Basildon, Essex SS16",3,1,1,
127,"£290,000","Kent View Road, Vange, Basildon SS16",3,1,1,
128,"£500,000","Royston Avenue, Basildon, Essex SS15",5,1,2,
129,"£585,000","Stamford Drive, Basildon, Essex SS15",5,3,3,
130,"£200,000","Walnut Close, Basildon SS15",2,1,1,
131,"£325,000","Basildon, Essex, United Kingdom SS16",3,1,1,
132,"£215,000","Curling Tye, Basildon, Essex SS14",3,2,1,
133,"£325,000","Curling Tye, Basildon, Essex SS14",3,2,1,
134,"£265,000","Nightingale Grove, Basildon SS14",2,1,1,
135,"£400,000","Little Bentley, Basildon SS14",5,3,2,
136,"£230,000","Langdon Hills, Basildon, Essex SS16",2,1,1,
137,"£550,000","Kennedy Avenue, Basildon, Essex SS15",5,2,3,
138,"£587,000","Calvinia Close, Laindon, Basildon SS15",5,3,2,
139,"£545,000","Prescott, Langdon Hills, Basildon, Essex SS16",3,2,1,
140,"£390,000","School Avenue, Laindon, Basildon SS15",3,2,3,
141,"£280,000","Pamplins, Basildon SS15",3,2,1,
142,"£250,000","Lee Chapel North, Basildon, Essex SS15",3,1,1,
143,"£950,000","Lower Dunton Road, Bulphan, Upminster RM14",4,3,3,
144,"£535,000","Shelsley Drive, Langdon Hills, Basildon SS16",3,3,2,
145,"£260,000","Clayburn Side, Basildon, Essex SS14",2,2,1,
146,"£560,000","Parker Drive, Basildon SS16",4,2,2,
147,"£425,000","Gordon Road, Basildon, Essex SS14",,,,
148,"£375,000","Rosecroft Close, Langdon Hills SS16",3,1,1,
149,"£210,000","Shirley Gardens, Burnt Mills, Basildon, Essex SS13",2,1,1,
150,"£650,000","Pound Lane, Bowers Gifford, Basildon SS13",5,3,3,
151,"£280,000","Hollands Walk, Basildon SS16",3,2,1,
152,"£240,000","Marlborough Drive, Langdon Hills, Basildon SS16",2,1,1,
153,"£280,000","Basildon, Essex, United Kingdom SS14",3,1,1,
154,"£175,000","Clay Hill Road, Basildon SS16",2,1,1,
155,"£314,000","Park Terrace, Church Park Road, Pitsea, Basildon, Essex SS13",4,2,1,
156,"£130,000","Widgeons, Pitsea, Basildon, Essex SS13",1,1,1,
157,"£475,000","Park Terrace, Church Park Road, Pitsea, Basildon, Essex SS13",4,2,1,
158,"£250,000","Whitcroft, Langdon Hills, Basildon, Essex SS16",2,1,1,
159,"£240,000","Vermont Close, Basildon, Essex SS13",,,,
160,"£260,000","Warren Drive, Basildon, Essex SS14",2,1,1,
161,"£200,000","Lower Street, Basildon, Essex SS15",,,,
162,"£260,000","Carlisle Way, Pitsea, Basildon, Essex SS13",3,3,1,
163,"£550,000","Halstow Way, Pitsea, Basildon, Essex SS13",5,2,2,
164,"£270,000","Shepeshall, Basildon SS15",3,1,1,
165,"£220,000","Britten Avenue, Basildon, Essex SS14",2,1,1,
166,"£750,000","Fletchers, Basildon, Essex SS16",5,2,2,
167,"£220,000","Britten Avenue, Basildon SS14",2,1,1,
168,"£220,000","Basildon, Essex, United Kingdom SS14",,,,
169,"£550,000","Berry Lane, Langdon Hills, Essex SS16",4,2,2,
170,"£250,000","Basildon, Essex SS14",2,1,1,
171,"£230,000","Pickwick Close, Laindon, Basildon, Essex SS15",2,1,1,
172,"£410,000","School Avenue, Basildon SS15",4,2,3,
173,"£195,000","Warwick Crescent, Laindon, Basildon, Essex SS15",1,1,1,
174,"£265,000","Havengore, Basildon, Essex SS13",3,2,1,
175,"£320,000","Wickham Place, Basildon SS16",4,1,2,
176,"£230,000","Brempsons, Basildon, Essex SS14",3,1,1,
177,"£180,000","Southernhay, Basildon, Essex SS14",1,1,1,
178,"£250,000","Warwick Crescent, Laindon, Basildon, Essex SS15",2,1,1,
179,"£500,000","Langdon Hills, Basildon, Essex SS16",4,2,1,
180,"£400,000","Tangham Walk, Basildon SS14",4,1,3,
181,"£230,000","Gladwyns, Laindon, Basildon SS15",2,1,1,
182,"£325,000","Northampton Grove, Langdon Hills, Essex SS16",3,1,2,
183,"£280,000","Cross Green, Basildon SS16",2,2,2,
184,"£210,000","Copperfields, Laindon, Basildon SS15",2,1,1,
185,"£350,000","Montague Street, Basildon SS14",3,2,3,
186,"£300,000","Sunnedon, Basildon SS16",3,1,2,
187,"£350,000","Southcote Crescent, Basildon, Essex SS14",3,2,2,
188,"£325,000","Lee Chapel South, Essex, United Kingdom SS16",3,1,2,
189,"£350,000","Beeleigh East, Basildon, Essex SS14",4,2,2,
