,price,address,beds,reception,bathrooms,contact_number
252,"£230,000","1 Kelso Place, Manchester M15",2,1,2,
253,"£270,000","Norleigh Road, Manchester M22",3,1,1,
254,"£90,000","Edge Lane, Chorlton, Manchester, Greater Manchester M32",1,1,1,
255,"£650,000","Alexandra Road South, Whalley Range, Manchester, Greater Manchester M16",5,3,3,
256,"£300,000","Glen Avenue, Worsley, Manchester M28",3,3,1,
257,"£400,000","Patterson Avenue, Chorlton Cum Hardy, Manchester M21",3,2,1,
258,"£230,000","Thornleigh Road, Manchester, Greater Manchester M14",3,1,2,
259,"£850,000","Hesketh Avenue, Didsbury, Manchester M20",4,,3,
260,"£150,000","Wilbraham Road, Fallowfield, Manchester M14",2,1,2,
261,"£230,000","Holden Drive, Pendlebury, Swinton, Manchester M27",3,1,3,
262,"£285,000","Stanley Avenue North, Prestwich, Manchester M25",3,1,1,
263,"£365,000","Rye Bank Road, Firswood, Manchester M16",5,1,3,
264,"£165,000","Manor Road, Swinton, Manchester M27",3,2,1,
265,"£155,000","Parrs Wood Road, Didsbury, Manchester M20",2,,1,
266,"£135,000","Moston Lane, Moston, Manchester M40",3,2,1,
267,"£450,000","Springbridge Road, Manchester M16",4,2,1,
268,"£255,000","Mount Drive, Urmston, Trafford M41",3,2,1,
269,"£350,000","Castlefield Avenue, Salford M7",3,1,1,
270,"£170,000","Broadway, Manchester M40",3,2,2,
271,"£195,000","Ludgate Street, Manchester M4",1,1,1,
272,"£250,000","Ludgate Street, Manchester M4",2,1,2,
273,"£294,995","""Duco"" at Talbot Road, Stretford, Manchester M32",3,2,2,
274,"£304,995","""Duco"" at Talbot Road, Stretford, Manchester M32",3,2,2,
275,"£140,000","Ordsall Lane, Salford M5",2,1,1,
276,"£190,000","Inchfield Road, Moston, Manchester, Greater Manchester M40",3,2,1,
277,"£300,000F","Folly Lane, Swinton, Manchester M27",3,1,1,
278,"£310,000","Olympia Trading Estate, Great Jackson Street, Manchester M15",2,1,1,
279,"£241,995","""The Windsor"" at Blossom Way, Salford M6",3,2,2,
280,"£195,995","""Type K Apartment First Floor"" at Talbot Road, Stretford, Manchester M32",2,1,2,
281,"£240,000","Doncaster Avenue, Manchester, Greater Manchester, Uk M20",3,2,1,
282,"£250,000","Advent Way, Manchester M4",2,1,2,
283,"£550,000","Butt Hill Avenue, Prestwich, Prestwich Manchester M25",4,2,2,
284,"£220,000","Kilcoby Avenue, Swinton, Manchester M27",4,2,3,
285,"£280,000","Slade Lane, Longsight, Manchester M13",3,2,2,
286,"£350,000","Winster Avenue, Stretford, Manchester M32",4,2,2,
287,"£100,000","Water Street, Manchester M9",3,2,1,
288,"£180,000","Bolton Road, Salford M6",3,2,1,
289,"£290,000","Leach Mews, Prestwich, Prestwich Manchester M25",4,2,2,
290,"£90,000","Ventnor Street, Salford, Greater Manchester M6",2,2,1,
291,"£220,000","Calder Lane, Eccles, Manchester M30",3,1,2,
292,"£130,000","New Herbert Street, Salford M6",2,2,1,
293,"£145,000","Claremont Road, Salford, Greater Manchester M6",3,2,1,
294,"£320,000","Peveril Crescent, Chorlton Cum Hardy, Greater Manchester M21",3,1,1,
295,"£145,591","Carnaby Street, Worrall Street, Salford M5",1,1,1,
296,"£206,825","Carnaby Street, Worrall Street, Salford M5",2,1,1,
297,"£261,927","Carnaby Street, Worrall Street, Salford M5",3,1,1,
298,"£230,000","Russell Road, Salford M6",3,2,1,
299,"£3,000,000","Investment, Hmo Portfolio For Sale, Manchester M32",6,,2,
300,"£160,000","Yew Tree Avenue, Fallowfield, Manchester, Greater Manchester M14",3,2,1,
301,"£1,350,000","Chatsworth Road, Worsley M28",4,,,
302,"£230,000","Manchester Road, Red House M27",2,,,
303,"£850,000","Chatsworth Road, Eccles M30",5,,,
304,"£3,500,000","Chatsworth Road, Worsley M28",5,,,
305,"£225,000","Chorlton Brook, 18 Chorlton Brook M30",2,,,
306,"£1,000,000","Chatsworth Road, Worsley M28",4,,,
307,"£255,000","Brookfield, Prestwich, Manchester, Greater Manchester M25",3,1,1,
308,"£170,000","Greengate East, Manchester M40",3,1,1,
309,"£1,800,000","Crown Street, Manchester M15",3,1,1,
310,"£140,000","12 Whitelow Road, Manchester M21",1,1,1,
311,"£215,000","Beastow Road, Manchester M12",3,1,1,
312,"£165,000","Bishops Corner, Manchester M15",2,1,1,
313,"£120,000","Kenwyn Street, Manchester M40",2,2,1,
