,price,address,beds,reception,bathrooms,contact_number
98,"£439,995","Southbury Road, Enfield EN1",3,1,1,
99,"£335,000","Glebe Road, London N3",1,1,1,
100,"£279,950","Salisbury Road, High Barnet, Hertfordshire EN5",1,1,1,
101,"£620,000","Cedarwood Mansions, Deptford Landings, Deptford, London SE8",2,1,2,
102,"£295,000","Wellington Road, Hampton Hill, Hampton TW12",1,1,1,
103,"£440,000","Hurlstone Road, London SE25",3,2,1,
104,"£420,000","John Archer Way, London SW18",1,1,1,
105,"£475,000","Marlborough Road, London N19",2,1,1,
106,"£425,000F","Wellington Way, London E3",2,1,1,
107,"£585,000","Clock House Road, Beckenham BR3",3,2,1,
108,"£500,000","Waltham Road, Woodford Green IG8",3,1,1,
109,"£625,000","Dolphin Road, Northolt UB5",2,1,1,
110,"£550,000","Mutton Lane, Potters Bar, Herts EN6",3,1,1,
111,"£600,000","Studley Road, London E7",6,2,2,
112,"£400,000","Halefield Road, London N17",2,2,1,
113,"£300,000","Courier Court, 2 Guardian Avenue, London NW9",1,1,1,
114,"£685,000","Goodman Crescent, London SW2",3,2,2,
115,"£575,000","Fulford Road, West Ewell, Epsom KT19",4,2,2,
116,"£400,000","Overbury Crescent, New Addington, Croydon CR0",3,1,2,
117,"£595,000","Rosecroft Gardens, Twickenham TW2",4,2,2,
118,"£500,000","Clarence Way, London NW1",2,1,1,
119,"£575,000","Gleneagles, Stanmore HA7",3,1,2,
120,"£2,995,000","All Saints Road, Notting Hill, London W11",4,1,4,
121,"£5,450,000","Redcliffe Road, Chelsea SW10",6,4,4,
122,"£215,000","Heathdene Drive, Belvedere DA17",2,1,1,
123,"£475,000","Winchester Avenue, London NW6",1,1,1,
124,"£290,000","Regents Lodge, West Drayton UB7",1,1,1,
125,"£895,000","Sugden Road, London SW11",3,1,2,
126,"£550,000","Gyllyngdune Gardens, Ilford IG3",3,2,1,
127,"£585,000","The Old Ice Cream Works, Chatsworth Road, London E5",2,,1,
128,"£1,650,000","The Ridgeway, Enfield EN2",6,2,3,
129,"£550,000","Morley Road, North Cheam, Sutton SM3",4,1,1,
130,"£420,000","Roebuck Road, Chessington KT9",3,1,1,
131,"£525,000","Gassiot Way, Sutton SM1",4,2,1,
132,"£530,000","Robert Street, London NW1",2,1,1,
133,"£575,000","Balham High Road, London SW12",2,1,2,
134,"£650,000","Cranston Park Avenue, Upminster RM14",2,3,2,
135,"£400,000","Dagenham, Essex, . RM9",3,1,1,
136,"£550,000","1 Moorhen Drive, West Hendon NW9",2,1,1,
137,"£550,000","Tarling House, Elephant Park, London SE17",1,1,1,
138,"£575,000","Belmont Road, London SE25",3,2,1,
139,"£500,000","Edgware Road, London W2",2,1,1,
140,"£1,300,000","London, London N19",7,2,4,
141,"£400,000","Edmund Street, London SE5",1,1,1,
142,"£425,000","Bursland Road, Ponders End, Enfield EN3",3,1,1,
143,"£815,000","Albert Palace Mansions, Lurline Gardens SW11",2,1,1,
144,"£550,000","Iris Avenue, Bexley DA5",4,3,1,
145,"£545,000","Cockfosters Road, Cockfosters, Barnet EN4",3,1,2,
146,"£475,000","Stockwell Road, Brixton SW9",1,1,1,
147,"£650,000","Venner Road, London SE26",4,1,2,
148,"£310,000","Bisson Road, London E15",1,1,1,
149,"£475,000","Wilmer Place, London N16",1,1,1,
150,"£90,000","Eden House, 20-22 Deptford High Street, London SE8",,,1,
151,"£230,000","Verve Apartments, Mercury Gardens, Romford RM1",1,1,1,
152,"£1,250,000","Alberts Court, 2 Palgrave Gardens, London NW1",2,1,2,
153,"£350,000","East Croft House, 86 Northolt Road, Harrow, Middlesex HA2",2,1,2,
154,"£549,950","Grove Road, Twickenham TW2",2,2,1,
155,"£440,000","London, London N5",1,1,1,
156,"£899,950","Wickham Avenue, North Cheam, Sutton SM3",4,2,2,
157,"£545,000","Merton Road, London SW19",3,,2,
158,"£875,000","Rennie Court, 11 Upper Ground, South Bank, London SE1",2,1,2,
159,"£865,000","The Croft, High Barnet, Hertfordshire EN5",4,2,2,
160,"£400,000","Braybourne Close, Uxbridge UB8",2,1,1,
161,"£360,000","Crunden Road, South Croydon CR2",2,2,2,
162,"£245,000","Hindes Road, Harrow-On-The-Hill, Harrow HA1",1,1,1,
163,"£395,000","Stanswood Gardens, Camberwell SE5",4,2,1,
164,"£250,000","Oglethorpe Road, Dagenham RM10",3,1,1,
165,"£575,000","Colney Hatch Lane, Muswell Hill, London N10",2,1,,
166,"£425,000","Malcolm Road, Coulsdon, Surrey CR5",2,2,1,
167,"£175,200","Wolffe Gardens, London E15",1,1,1,
168,"£849,000","Rosler Building, Ewer Street, Southwark, London SE1",2,1,2,
169,"£525,000","Grove Green Road, London E11",2,,,
170,"£300,000","Brookmill Road, London SE8",1,1,1,
171,"£400,000","Station Parade, Balham High Road, London SW12",1,1,1,
172,"£499,000","Southgate Road, London N1",1,1,1,
173,"£599,999","Oakfied Road, Stroud Green N4",2,1,1,
174,"£800,000","Hazlebury Road, Fulham, London SW6",3,1,3,
175,"£1,175,000","Duncan Road, Richmond TW9",,,,
176,"£350,000","Bonfield Road, Lewisham, London SE13",1,1,1,
177,"£2,600,000","Pearson Square, Fitzroy Place W1T",2,1,2,
178,"£1,750,000","Marsh Lane, Mill Hill NW7",5,2,3,
179,"£410,000F","Upton Road, Bexleyheath DA6",3,2,1,
180,"£190,000","Crowden Way, London SE28",1,1,1,
181,"£895,000","Abbots House, Kensington, London W14",2,1,2,
182,"£475,000","Wraysbury Drive, Yiewsley, West Drayton UB7",3,1,2,
183,"£995,000","Broomwood Road, London SW11",3,1,3,
184,"£350,000","William Smith House, Ireton Street E3",1,,1,
185,"£525,000","Crutchley Road, London SE6",3,2,1,
186,"£2,695,000","Irene Road, Fulham SW6",5,2,3,
187,"£850,000","Woodstock Road, London W4",1,1,1,
188,"£995,000","Bellamy Street, London SW12",3,,,
189,"£450,000","Birkenhead Avenue, Kingston Upon Thames KT2",2,1,1,
190,"£585,000","Arnold Gardens, Palmers Green N13",3,2,1,
191,"£775,000","Jennys Way, Coulsdon, Surrey CR5",5,3,3,
192,"£875,000","Norfolk House Road, Streatham, London, London SW16",5,2,2,
193,"£500,000","Farringdon Road, London, London EC1M",1,1,1,
194,"£525,000","Sprewell House, Lytton Grove, London SW15",3,1,,
195,"£395,000","Sandy Lane North, Wallington SM6",2,2,1,
196,"£750,000","Holford Way, London SW15",2,1,2,
197,"£2,950,000","Burnaby Street, London SW10",4,2,3,
198,"£439,995","Southbury Road, Enfield EN1",3,1,1,
199,"£335,000","Glebe Road, London N3",1,1,1,
200,"£279,950","Salisbury Road, High Barnet, Hertfordshire EN5",1,1,1,
201,"£620,000","Cedarwood Mansions, Deptford Landings, Deptford, London SE8",2,1,2,
202,"£295,000","Wellington Road, Hampton Hill, Hampton TW12",1,1,1,
203,"£440,000","Hurlstone Road, London SE25",3,2,1,
204,"£420,000","John Archer Way, London SW18",1,1,1,
205,"£475,000","Marlborough Road, London N19",2,1,1,
206,"£425,000F","Wellington Way, London E3",2,1,1,
207,"£585,000","Clock House Road, Beckenham BR3",3,2,1,
208,"£500,000","Waltham Road, Woodford Green IG8",3,1,1,
209,"£625,000","Dolphin Road, Northolt UB5",2,1,1,
210,"£550,000","Mutton Lane, Potters Bar, Herts EN6",3,1,1,
211,"£600,000","Studley Road, London E7",6,2,2,
212,"£400,000","Halefield Road, London N17",2,2,1,
213,"£300,000","Courier Court, 2 Guardian Avenue, London NW9",1,1,1,
214,"£685,000","Goodman Crescent, London SW2",3,2,2,
215,"£575,000","Fulford Road, West Ewell, Epsom KT19",4,2,2,
216,"£400,000","Overbury Crescent, New Addington, Croydon CR0",3,1,2,
217,"£595,000","Rosecroft Gardens, Twickenham TW2",4,2,2,
218,"£500,000","Clarence Way, London NW1",2,1,1,
219,"£575,000","Gleneagles, Stanmore HA7",3,1,2,
220,"£2,995,000","All Saints Road, Notting Hill, London W11",4,1,4,
221,"£5,450,000","Redcliffe Road, Chelsea SW10",6,4,4,
222,"£215,000","Heathdene Drive, Belvedere DA17",2,1,1,
223,"£475,000","Winchester Avenue, London NW6",1,1,1,
224,"£290,000","Regents Lodge, West Drayton UB7",1,1,1,
225,"£895,000","Sugden Road, London SW11",3,1,2,
226,"£550,000","Gyllyngdune Gardens, Ilford IG3",3,2,1,
227,"£585,000","The Old Ice Cream Works, Chatsworth Road, London E5",2,,1,
228,"£1,650,000","The Ridgeway, Enfield EN2",6,2,3,
229,"£550,000","Morley Road, North Cheam, Sutton SM3",4,1,1,
230,"£420,000","Roebuck Road, Chessington KT9",3,1,1,
231,"£525,000","Gassiot Way, Sutton SM1",4,2,1,
232,"£530,000","Robert Street, London NW1",2,1,1,
233,"£575,000","Balham High Road, London SW12",2,1,2,
234,"£650,000","Cranston Park Avenue, Upminster RM14",2,3,2,
235,"£400,000","Dagenham, Essex, . RM9",3,1,1,
236,"£550,000","1 Moorhen Drive, West Hendon NW9",2,1,1,
237,"£550,000","Tarling House, Elephant Park, London SE17",1,1,1,
238,"£575,000","Belmont Road, London SE25",3,2,1,
239,"£500,000","Edgware Road, London W2",2,1,1,
240,"£1,300,000","London, London N19",7,2,4,
241,"£400,000","Edmund Street, London SE5",1,1,1,
242,"£425,000","Bursland Road, Ponders End, Enfield EN3",3,1,1,
243,"£815,000","Albert Palace Mansions, Lurline Gardens SW11",2,1,1,
